cliente_id,razao_social,setor,faturamento_anual,dias_desde_ultimo_contato,possui_conta_pj,possui_maquininha,possui_credito_ativo,possui_cartao_empresarial,limite_credito_disponivel,atraso_pagamento_dias,variacao_faturamento_6m,tempo_relacionamento_meses,nps_ultima_interacao
PJ0019,Pires,Indústria,751872.34,3,True,False,False,False,59826.86,0,37.3,150,0
PJ0020,Oliveira,Comércio,556340.23,21,True,False,False,False,67637.26,0,-38.0,37,8
PJ0021,Santos Azevedo S/A,Serviços,1077385.57,8,True,False,False,False,156028.93,0,12.1,96,1
PJ0022,Vargas da Rocha S/A,Comércio,687747.5,20,True,True,False,False,82024.4,0,-24.5,56,8
PJ0023,Brito Garcia Ltda.,Comércio,524290.46,26,True,True,False,True,68774.8,0,-1.4,105,0
PJ0024,Porto,Indústria,641423.79,44,True,False,True,True,63115.05,0,0.7,59,9
PJ0025,Castro,Indústria,860417.13,5,True,True,True,True,110652.24,0,24.6,131,8
PJ0026,Fogaça,Serviços,582165.57,0,True,False,False,False,71009.48,0,-8.4,156,3
PJ0027,Rios da Mata e Filhos,Comércio,524978.11,3,True,False,False,False,36227.75,0,21.6,35,8
PJ0028,Pereira e Filhos,Indústria,804096.76,57,True,True,True,False,73782.9,0,-15.7,93,6
PJ0029,Nascimento Siqueira S.A.,Serviços,804508.35,51,True,False,False,True,100256.15,0,22.2,97,10
PJ0030,Martins Garcia Ltda.,Comércio,595539.34,22,True,True,False,True,15476.5,0,-5.1,135,5
PJ0031,Rodrigues Duarte S/A,Serviços,604154.16,22,True,False,False,False,75549.66,0,3.1,76,4
PJ0032,Andrade Dias - ME,Comércio,800362.46,27,True,False,False,True,34516.0,0,-3.0,49,10
PJ0033,Azevedo,Comércio,408712.1,4,True,False,False,False,35520.71,0,21.2,94,8
PJ0034,Nunes Silva Ltda.,Agronegócio,415407.19,61,True,True,False,True,51957.39,0,18.3,159,1
PJ0035,Rezende Monteiro - ME,Construção Civil,547228.82,13,True,False,False,False,29001.34,0,8.7,24,10
PJ0036,Casa Grande,Serviços,669724.12,12,True,True,True,True,34795.49,0,-15.3,148,1
PJ0037,Carvalho,Comércio,826010.72,18,True,False,False,False,59769.62,89,-8.7,37,10
PJ0038,Souza Novais - EI,Comércio,1316046.19,1,True,True,False,False,179381.79,0,-13.4,4,8
PJ0039,Souza,Serviços,1027936.39,4,True,True,False,False,20617.9,0,-31.7,108,2
PJ0040,Pacheco,Indústria,684213.02,33,True,False,True,True,93860.21,0,20.9,126,7
PJ0041,Fonseca,Comércio,723889.12,2,True,False,False,False,28951.88,0,-2.9,20,10
PJ0042,Carvalho Moraes - ME,Indústria,488447.98,23,True,True,False,True,72637.7,0,-3.1,152,8
PJ0043,Sá S/A,Comércio,724034.81,7,True,True,False,True,104355.22,0,24.4,50,7
PJ0044,Cassiano e Filhos,Agronegócio,649875.8,12,True,False,True,False,54789.58,0,-5.1,177,3
PJ0045,Vieira Rodrigues - ME,Comércio,829922.35,8,True,True,False,False,71915.79,0,-10.6,179,0
PJ0046,Gomes - ME,Serviços,523926.99,10,True,False,False,False,43277.11,0,-1.4,96,3
PJ0047,Moura,Comércio,897832.32,31,True,False,True,False,92124.49,0,-15.0,105,8
PJ0048,Novaes,Indústria,1346602.84,8,True,True,False,True,42813.65,0,7.2,164,1
PJ0049,Rodrigues e Filhos,Indústria,698364.14,20,True,False,False,True,16928.58,0,-3.6,117,2
PJ0050,Rodrigues - EI,Comércio,856564.32,16,True,True,False,True,23556.7,0,-5.6,98,9
PJ0051,Vargas,Construção Civil,961315.17,27,True,False,False,False,74759.07,0,-6.9,66,7
PJ0052,Camargo,Serviços,621264.26,69,True,False,False,False,34679.74,0,0.4,79,5
PJ0053,Lopes,Agronegócio,797818.97,32,True,False,False,False,80472.12,0,3.3,162,7
PJ0054,Marques Abreu e Filhos,Agronegócio,733099.68,6,True,True,False,False,109244.68,0,-5.8,164,6
PJ0055,Montenegro,Serviços,758479.04,0,True,False,False,False,53261.92,0,-3.4,6,4
PJ0056,Montenegro Caldeira e Filhos,Agronegócio,535414.28,7,True,False,False,False,50649.85,0,0.8,39,8
PJ0057,Porto,Comércio,736602.79,22,True,True,True,False,54529.6,24,-0.7,170,3
PJ0058,Cassiano Freitas S.A.,Comércio,890198.11,1,True,True,False,True,115855.12,0,2.5,115,5
PJ0059,Peixoto Ltda.,Comércio,1303361.75,17,True,True,False,False,178939.49,0,-8.2,125,1
PJ0060,Almeida,Comércio,1070577.02,22,True,False,False,False,143517.52,0,17.1,12,1
PJ0061,Fonseca Ltda.,Indústria,1725923.77,10,True,True,False,True,253138.46,0,3.5,131,1
PJ0062,Araújo da Costa - EI,Comércio,536628.31,36,True,False,False,False,12652.35,0,-5.6,18,9
PJ0063,Barros e Filhos,Serviços,1033982.34,2,True,False,True,False,133565.81,0,7.2,40,6
PJ0064,Azevedo,Indústria,784919.78,1,True,False,False,False,92408.91,0,0.9,21,1
PJ0065,Cardoso Ribeiro - ME,Comércio,1751391.5,32,True,False,False,False,87097.18,59,-24.0,143,1
PJ0066,da Luz Moura - EI,Indústria,527909.78,17,True,True,False,True,76188.79,0,7.1,99,8
PJ0067,Cunha,Comércio,521315.79,29,True,False,False,False,20468.49,0,-13.3,26,6
PJ0068,Silva das Neves - ME,Serviços,573918.65,14,True,False,False,False,62179.2,0,16.0,8,10
PJ0069,Macedo,Comércio,311901.19,7,True,True,True,True,15356.68,0,-1.6,100,2
PJ0070,Campos,Construção Civil,591074.88,42,True,False,False,False,44968.67,0,13.7,87,2
PJ0071,Câmara Azevedo Ltda.,Serviços,538394.55,40,True,False,False,False,61102.82,0,-7.5,42,6
PJ0072,Pastor - EI,Comércio,774642.97,29,True,True,False,True,72221.67,0,3.0,172,4
PJ0073,Pastor Câmara S/A,Comércio,836266.31,7,True,False,False,False,63201.03,0,20.2,14,9
PJ0074,Santos e Filhos,Serviços,1544897.83,22,True,False,False,True,96438.7,0,-2.0,78,5
PJ0075,da Conceição S/A,Serviços,1066795.16,11,True,False,False,False,137782.73,0,-6.9,2,7
PJ0076,Farias S/A,Serviços,579104.68,2,True,False,False,False,22408.96,0,11.8,119,8
PJ0077,da Mota Rios - ME,Serviços,509219.34,62,True,False,False,False,38656.56,0,11.5,37,0
PJ0078,Nogueira Cardoso e Filhos,Comércio,888036.09,3,True,False,False,True,122094.74,0,-6.2,69,2
PJ0079,da Cruz,Indústria,430157.51,75,True,True,True,False,55903.46,0,-27.8,166,10
PJ0080,Jesus,Comércio,1517513.21,14,True,False,False,False,109446.74,0,-7.2,41,6
PJ0081,Brito Brito e Filhos,Agronegócio,1169136.56,5,True,True,False,False,139365.86,0,12.2,62,5
PJ0082,Fogaça,Serviços,604604.46,19,True,True,True,False,76791.36,0,-9.6,60,6
PJ0083,Jesus,Comércio,367598.35,51,True,False,True,True,49829.93,0,1.8,125,7
PJ0084,Siqueira,Comércio,1253623.79,32,True,True,False,False,113811.18,0,-7.9,111,5
PJ0085,Rocha e Filhos,Comércio,696751.47,41,True,True,False,False,32454.62,0,-27.0,14,2
PJ0086,Araújo - ME,Comércio,1196757.68,26,True,True,False,True,63655.76,0,-8.1,84,1
PJ0087,Caldeira,Serviços,385473.97,29,True,True,False,False,22527.22,0,12.1,130,6
PJ0088,Correia Correia - EI,Serviços,573922.7,47,True,False,False,False,55782.03,0,-33.6,70,10
PJ0089,Carvalho,Agronegócio,730947.91,7,True,False,True,True,17736.63,0,5.8,145,0
PJ0090,Cirino,Indústria,743253.34,16,True,False,False,False,76321.36,0,-15.8,123,2
PJ0091,Martins,Comércio,609243.81,6,True,False,False,False,41042.35,0,11.1,89,10
PJ0092,Barbosa Macedo - EI,Serviços,935784.01,109,True,False,False,False,54632.41,52,12.7,28,3
PJ0093,Aragão e Filhos,Serviços,475894.67,72,True,False,False,True,63929.1,0,-0.6,66,0
PJ0094,Borges S.A.,Serviços,689035.59,1,True,True,True,False,54985.25,0,-0.5,163,4
PJ0095,Jesus Mendonça - ME,Serviços,765372.75,30,True,False,False,False,24765.09,57,-10.1,5,9
PJ0096,Guerra Araújo S.A.,Indústria,896071.54,64,True,False,True,True,114228.58,0,-18.2,168,2
PJ0097,Abreu,Indústria,969606.84,4,True,False,True,True,25397.26,0,27.5,164,1
PJ0098,da Luz,Indústria,465163.0,20,True,False,False,False,53250.65,54,-11.0,45,2
PJ0099,da Paz,Comércio,394886.76,61,True,False,True,False,47626.43,0,25.5,151,7
PJ0100,Sampaio,Comércio,1215991.96,0,True,False,False,False,80058.89,0,-10.9,47,5
PJ0101,Cassiano,Comércio,833113.87,29,True,False,False,False,105990.76,0,9.9,31,6
PJ0102,da Rocha Cunha S/A,Serviços,540692.17,8,True,True,True,False,47059.53,0,-15.1,139,5
PJ0103,Souza Ltda.,Comércio,1356557.49,64,True,False,False,False,108834.13,0,9.9,10,5
PJ0104,Aragão - EI,Indústria,763959.35,88,True,False,True,False,19788.4,0,-2.9,118,2
PJ0105,Montenegro,Agronegócio,1169069.71,72,True,False,False,False,67459.76,0,-2.7,14,7
PJ0106,Araújo Moraes S/A,Comércio,749384.43,16,True,True,False,False,105686.66,0,11.2,80,6
PJ0107,Azevedo Peixoto S/A,Indústria,1663275.1,49,True,False,True,False,117987.94,0,-5.0,93,6
PJ0108,Guerra Campos - EI,Serviços,1472005.53,46,True,False,False,False,134057.12,0,-19.4,10,5
PJ0109,Pacheco Peixoto S/A,Comércio,660276.75,9,True,False,False,False,58872.14,0,13.4,76,4
PJ0110,Leão e Filhos,Comércio,1075857.29,44,True,False,False,False,104095.69,72,-15.2,94,9
PJ0111,da Luz,Comércio,944253.91,0,True,False,False,False,26413.64,0,9.7,105,7
PJ0112,Rios Silva Ltda.,Comércio,1261046.67,22,True,False,False,False,84594.68,62,16.6,1,4
PJ0113,da Luz Gonçalves S.A.,Agronegócio,495850.93,6,True,False,False,True,56530.32,0,-3.6,133,8
PJ0114,Marques,Serviços,959742.77,3,True,True,False,True,44218.07,0,19.7,20,8
PJ0115,Sá,Serviços,1113890.94,2,True,True,False,False,51757.15,0,9.2,8,0
PJ0116,Albuquerque - ME,Agronegócio,360953.42,29,True,True,True,True,7692.56,0,-8.4,171,5
PJ0117,Barbosa - EI,Serviços,454383.39,10,True,False,False,False,34929.66,0,23.0,1,6
PJ0118,Montenegro da Luz S.A.,Comércio,322644.74,32,True,False,False,False,43478.14,43,-15.1,57,2
PJ0119,Azevedo,Agronegócio,654899.63,1,True,False,True,False,17516.68,0,-3.7,64,6
PJ0120,Freitas da Paz S.A.,Indústria,971908.46,9,True,True,False,True,43585.65,0,-1.1,118,10
PJ0121,Nogueira,Serviços,1330336.96,19,True,False,False,False,80233.94,0,11.1,28,10
PJ0122,Pimenta,Agronegócio,751358.3,39,True,False,False,True,86499.54,0,18.7,121,6
PJ0123,Rios - EI,Comércio,1399248.99,9,True,False,False,False,144518.11,0,17.8,107,10
PJ0124,Ribeiro,Comércio,419978.76,24,True,True,False,False,31108.96,0,5.4,165,1
PJ0125,Carvalho Ltda.,Comércio,369035.09,54,True,True,False,False,43796.7,0,-2.2,175,6
PJ0126,Caldeira e Filhos,Indústria,713388.14,23,True,True,False,True,70805.22,6,-25.4,165,0
PJ0127,da Mata da Paz - EI,Serviços,850539.54,6,True,True,True,False,116086.15,86,-17.7,49,4
PJ0128,Silva Fernandes S.A.,Agronegócio,719939.24,0,True,True,False,False,90959.63,50,28.5,120,8
PJ0129,Montenegro,Comércio,319024.49,51,True,False,False,False,16865.47,0,-25.5,44,6
PJ0130,da Cunha,Indústria,703872.13,0,True,False,False,False,38914.99,0,-9.8,56,6
PJ0131,Borges e Filhos,Indústria,432878.43,51,True,True,False,False,15711.9,0,19.2,156,10
PJ0132,da Mota,Comércio,953475.51,18,True,False,True,True,60836.9,0,5.1,111,1
PJ0133,Abreu Ltda.,Comércio,844617.63,69,True,False,False,False,126642.57,0,15.9,134,7
PJ0134,Porto da Luz S.A.,Comércio,500843.06,40,True,False,False,False,36435.16,0,10.1,108,2
PJ0135,Novaes,Agronegócio,593892.28,154,True,True,False,False,28900.87,0,24.0,148,7
PJ0136,Novais,Comércio,477497.69,10,True,True,False,False,56880.85,49,6.4,114,2
PJ0137,Camargo S/A,Indústria,711356.05,36,True,True,False,True,64392.82,0,12.0,78,9
PJ0138,Nogueira Andrade Ltda.,Serviços,1068810.52,12,True,True,True,False,42162.64,0,-8.9,130,6
PJ0139,Lopes Cardoso S/A,Indústria,491742.06,16,True,False,False,True,34170.99,0,10.8,37,1
PJ0140,Fonseca,Construção Civil,892354.37,24,True,False,False,True,65928.09,0,-3.9,20,3
PJ0141,Fogaça S.A.,Construção Civil,590011.29,51,True,False,True,True,69620.07,0,-4.8,26,10
PJ0142,Rios Caldeira Ltda.,Comércio,531177.15,103,True,False,False,False,12050.96,0,15.4,29,5
PJ0143,Pinto,Indústria,698847.52,36,True,False,False,False,38417.43,0,15.5,1,10
PJ0144,da Costa Castro S.A.,Comércio,482098.18,13,True,False,False,True,42081.15,0,27.3,119,8
PJ0145,Alves,Comércio,584516.49,13,True,False,False,True,32119.23,0,26.3,35,4
PJ0146,Sousa Farias - ME,Comércio,451734.02,33,True,False,False,False,45939.74,0,15.8,59,8
PJ0147,da Mata Castro e Filhos,Serviços,1600601.5,6,True,False,False,False,132278.15,0,-23.8,69,4
PJ0148,Garcia S/A,Indústria,739778.0,2,True,True,False,False,49581.65,0,29.4,161,9
PJ0149,Câmara,Comércio,551341.57,10,True,True,True,False,79060.79,0,15.8,179,7
PJ0150,Marques Ferreira Ltda.,Comércio,794598.29,8,True,False,False,False,81192.64,0,-9.5,12,0
PJ0151,Câmara Alves e Filhos,Agronegócio,697368.18,8,True,False,False,False,25727.57,0,12.9,20,6
PJ0152,Guerra Farias Ltda.,Comércio,667711.96,6,True,True,False,False,61971.63,0,-13.6,43,3
PJ0153,Vargas Ltda.,Comércio,932539.4,1,True,True,False,False,113299.01,0,11.3,126,4
PJ0154,Ramos,Indústria,987570.42,0,True,False,False,False,110710.26,0,-17.7,50,5
PJ0155,Rocha,Construção Civil,589953.82,109,True,False,False,False,24997.29,0,-10.1,29,4
PJ0156,Alves,Comércio,579356.16,13,True,False,False,True,84826.2,0,12.6,39,0
PJ0157,da Luz S.A.,Serviços,653422.57,12,True,True,False,True,51192.9,0,18.1,171,8
PJ0158,Andrade,Serviços,290463.02,28,True,True,False,False,11814.08,0,6.9,178,1
PJ0159,Peixoto - ME,Comércio,397887.1,6,True,True,True,False,17278.43,0,-2.3,151,8
PJ0160,Siqueira,Serviços,1260160.57,74,True,False,True,False,41296.15,0,-29.7,172,9
PJ0161,Lopes,Indústria,1408431.29,38,True,False,True,False,175289.63,0,-1.1,38,1
PJ0162,Gomes - EI,Serviços,660257.76,2,True,True,False,True,23679.46,0,10.0,84,8
PJ0163,da Cunha Aparecida e Filhos,Serviços,918615.37,13,True,True,False,True,33314.77,0,-2.8,151,5
PJ0164,Abreu,Indústria,826123.92,52,True,True,False,False,107859.82,0,1.7,128,10
PJ0165,Fonseca Lopes S/A,Comércio,2499377.66,72,True,True,False,False,161956.0,0,-0.8,126,8
PJ0166,Pinto,Serviços,1141472.86,15,True,False,False,True,27408.51,0,-2.8,45,5
PJ0167,Ribeiro,Comércio,693033.05,23,True,False,False,False,18536.13,0,3.1,52,5
PJ0168,Silveira Ltda.,Comércio,497715.46,4,True,False,False,True,19153.17,0,-2.1,80,10
PJ0169,Rios,Comércio,383625.26,118,True,True,False,True,18314.71,0,23.6,178,1
PJ0170,Duarte,Serviços,791262.82,6,True,True,False,True,84244.97,0,-31.1,124,7
PJ0171,Sampaio,Serviços,538993.99,71,True,True,False,False,21803.61,0,-6.2,119,2
PJ0172,Novaes,Comércio,412956.9,26,True,False,False,False,14640.84,0,-11.1,8,6
PJ0173,Correia Leão e Filhos,Indústria,563189.17,23,True,True,False,True,67252.38,0,5.3,85,4
PJ0174,Rocha,Comércio,473250.82,17,True,False,True,False,50750.09,0,3.2,129,2
PJ0175,Pimenta Nunes Ltda.,Serviços,1432392.46,6,True,False,False,False,109710.02,0,26.3,8,0
PJ0176,Novaes,Comércio,1037843.86,4,True,False,True,True,94869.59,0,31.3,157,7
PJ0177,da Rosa Ltda.,Serviços,727093.92,6,True,False,False,True,44031.3,0,-9.6,96,2
PJ0178,Lopes Viana - EI,Indústria,1318463.57,5,True,True,True,True,109069.97,0,2.0,102,1
PJ0179,Martins,Agronegócio,752342.78,37,True,False,False,True,64601.75,0,4.9,5,0
PJ0180,Macedo,Comércio,516838.81,10,True,True,True,False,36354.88,16,-10.0,86,3
PJ0181,Moraes Melo e Filhos,Comércio,1341433.84,1,True,True,False,False,184922.54,0,11.4,175,7
PJ0182,Ribeiro Barros Ltda.,Comércio,904885.79,86,True,False,False,False,19987.16,0,-1.6,34,2
PJ0183,Borges,Agronegócio,481711.92,53,True,False,True,False,58615.8,0,-14.0,55,0
PJ0184,Rocha das Neves S.A.,Agronegócio,675943.34,65,True,False,True,True,24448.71,0,-2.2,119,3
PJ0185,Casa Grande Alves S/A,Comércio,513883.93,132,True,True,True,True,63557.76,0,-13.0,171,8
PJ0186,Melo Pimenta S/A,Serviços,419525.72,4,True,True,False,True,41981.33,0,17.5,158,0
PJ0187,Leão,Serviços,1056498.84,12,True,False,True,False,136949.88,0,30.5,114,10
PJ0188,Silva Sampaio - ME,Serviços,1565579.59,35,True,True,True,True,51158.23,0,5.7,145,1
PJ0189,Guerra,Indústria,416888.04,29,True,False,True,False,38631.97,0,3.7,26,8
PJ0190,Casa Grande Rezende e Filhos,Comércio,913636.16,4,True,False,False,False,77788.28,0,4.3,136,1
PJ0191,Sá S/A,Comércio,562273.11,42,True,False,False,False,62865.01,0,19.7,47,2
PJ0192,Câmara,Agronegócio,600279.01,6,True,True,False,False,53699.62,0,19.4,113,6
PJ0193,Sampaio Moreira - ME,Agronegócio,575527.58,6,True,False,False,False,51967.55,0,0.3,76,2
PJ0194,Novais S.A.,Serviços,516279.57,19,True,True,False,False,39158.5,0,5.8,72,8
PJ0195,Marques S.A.,Comércio,743711.63,22,True,False,False,False,44733.12,0,11.8,89,5
PJ0196,Rios,Comércio,523148.14,21,True,False,True,False,43261.4,0,-15.1,46,2
PJ0197,Sá,Serviços,812753.16,2,True,False,False,False,28774.72,0,20.2,33,8
PJ0198,Pimenta,Agronegócio,714904.86,52,True,False,False,False,103658.87,0,28.0,1,0
PJ0199,Novaes,Agronegócio,662927.41,7,True,False,False,True,74826.87,0,19.5,147,9
PJ0200,Castro,Serviços,507359.21,3,True,False,True,False,72968.77,0,-16.7,31,2
PJ0201,Machado,Serviços,579135.33,54,True,True,True,True,28652.47,0,-27.6,142,0
PJ0202,Sá,Comércio,986734.7,77,True,True,False,False,132532.61,0,12.6,53,1
PJ0203,Porto da Mota - EI,Comércio,891238.08,49,True,False,False,False,111531.94,0,-9.4,48,7
PJ0204,Pires,Agronegócio,493351.86,41,True,False,False,False,53296.71,35,6.3,69,6
PJ0205,da Mota Macedo S/A,Serviços,758981.68,26,True,False,False,True,76849.77,0,25.0,105,1
PJ0206,da Costa,Comércio,985155.57,20,True,True,True,False,60243.7,0,-7.9,90,1
PJ0207,Farias,Comércio,374084.84,2,True,True,False,False,47184.59,0,-3.7,63,8
PJ0208,Nogueira,Serviços,906497.98,13,True,False,False,False,77230.92,0,6.2,73,5
PJ0209,Carvalho S.A.,Comércio,559584.88,11,True,True,False,True,16348.78,0,-17.5,161,4
PJ0210,Gomes Sales S.A.,Comércio,916428.63,7,True,True,True,True,55601.75,0,-9.4,169,9
PJ0211,Azevedo Leão - ME,Indústria,537506.61,32,True,False,False,True,76104.82,0,2.4,89,5
PJ0212,Nogueira,Serviços,354352.39,17,True,False,True,True,46274.32,0,-2.5,176,8
PJ0213,Leão,Serviços,380401.68,2,True,False,False,False,56165.45,0,11.1,13,10
PJ0214,Costela - ME,Comércio,743581.74,6,True,False,True,False,75577.01,12,43.5,73,6
PJ0215,Vargas,Serviços,809270.9,28,True,False,False,False,42224.77,0,3.5,77,9
PJ0216,Teixeira - EI,Comércio,508018.61,1,True,True,False,False,20913.07,0,-10.6,159,9
PJ0217,Mendes,Comércio,941695.25,47,True,False,False,False,41716.04,0,23.3,68,8
PJ0218,Fogaça Ltda.,Serviços,375266.6,17,True,False,False,False,8471.06,0,-21.8,98,3
PJ0219,Leão,Serviços,710389.07,16,True,True,False,True,50287.5,0,-18.8,125,1
PJ0220,Mendonça Câmara Ltda.,Serviços,449366.24,22,True,False,False,False,20170.07,0,-6.9,102,7
PJ0221,Mendonça,Serviços,562004.74,43,True,True,False,True,41315.9,0,-2.2,132,3
PJ0222,Gomes Ltda.,Serviços,743377.65,10,True,False,False,False,105224.57,0,-7.3,102,8
PJ0223,Silveira,Comércio,517018.87,28,True,False,False,False,39278.04,30,1.5,19,3
PJ0224,Martins Cardoso - EI,Indústria,625419.42,20,True,False,False,True,83892.5,3,6.1,82,7
PJ0225,Gonçalves - EI,Comércio,1090903.84,7,True,True,False,False,107689.25,0,18.0,141,8
PJ0226,Barros e Filhos,Comércio,579107.41,52,True,False,False,False,30187.19,89,3.4,23,8
PJ0227,Carvalho,Construção Civil,1018943.48,39,True,False,True,False,67516.33,84,-6.4,83,9
PJ0228,Cirino,Indústria,464221.58,26,True,True,True,False,14348.88,0,17.2,109,3
PJ0229,da Luz - ME,Agronegócio,901595.88,47,True,True,True,False,57116.22,0,-10.3,75,0
PJ0230,Cunha,Serviços,1298379.42,50,True,True,True,True,140329.27,0,-22.5,129,2
PJ0231,Duarte,Serviços,271398.15,30,True,True,True,False,7972.17,0,20.1,88,8
PJ0232,Teixeira,Indústria,530323.19,45,True,False,False,False,24767.25,0,19.1,54,3
PJ0233,da Mota,Serviços,918804.69,29,True,False,False,False,63937.17,15,-9.9,89,4
PJ0234,da Cunha,Indústria,672516.45,28,True,False,False,True,99308.11,0,-4.0,143,6
PJ0235,Melo S/A,Comércio,846155.43,24,True,False,True,True,103258.07,0,-11.8,65,4
PJ0236,Ferreira S.A.,Serviços,572865.32,34,True,True,False,False,66081.89,0,6.9,76,3
PJ0237,Vasconcelos e Filhos,Comércio,755122.99,4,True,True,False,False,26508.46,0,28.0,143,1
PJ0238,Sá S/A,Comércio,685380.27,53,True,True,False,False,83293.9,21,12.5,149,1
PJ0239,Costa Almeida - EI,Serviços,1163697.3,51,True,True,True,False,142069.92,0,17.5,147,3
PJ0240,da Costa Cardoso - ME,Comércio,807556.53,0,True,False,False,True,79256.3,0,14.3,60,9
PJ0241,Nunes S.A.,Agronegócio,834878.15,43,True,False,False,True,124185.65,0,2.0,93,9
PJ0242,Sampaio,Construção Civil,618621.7,3,True,True,True,False,38529.62,0,18.3,161,8
PJ0243,Vargas,Agronegócio,600163.57,10,True,True,False,False,85442.54,0,13.2,49,7
PJ0244,Cavalcante,Indústria,613525.27,34,True,True,False,False,85227.89,0,23.6,35,2
PJ0245,Vasconcelos S.A.,Comércio,854080.61,4,True,True,False,True,18356.32,0,-4.9,172,8
PJ0246,Caldeira,Agronegócio,616372.15,42,True,False,False,False,48394.55,0,-24.1,102,4
PJ0247,das Neves - EI,Indústria,819057.81,44,True,False,False,False,120420.79,0,17.7,11,10
PJ0248,Gonçalves,Construção Civil,1673052.43,17,True,True,False,True,55889.62,0,7.2,99,2
PJ0249,Barbosa Pastor e Filhos,Construção Civil,1033487.83,0,True,False,False,False,94266.5,0,-2.4,110,4
PJ0250,Caldeira Sampaio Ltda.,Agronegócio,640235.01,8,True,False,False,False,94283.87,0,-1.6,74,9
PJ0251,Vieira - EI,Comércio,1179363.65,23,True,True,False,False,108754.32,0,40.3,174,3
PJ0252,Ferreira - EI,Indústria,619563.11,99,True,False,False,False,27679.59,0,-7.6,9,7
PJ0253,Ribeiro,Agronegócio,322787.72,24,True,False,False,False,30885.56,0,-10.8,3,4
PJ0254,Azevedo,Comércio,487363.47,7,True,False,False,False,22700.06,0,3.3,85,9
PJ0255,Albuquerque,Comércio,345132.35,25,True,False,False,False,30220.32,0,19.7,26,7
PJ0256,Mendonça,Serviços,633740.35,19,True,True,False,False,18774.87,0,36.2,72,8
PJ0257,Lopes Ltda.,Agronegócio,734810.08,37,True,False,False,True,72535.12,0,11.9,48,3
PJ0258,Santos,Serviços,1426272.46,2,True,False,False,False,124346.27,0,-17.1,156,6
PJ0259,Lopes Cavalcanti e Filhos,Serviços,831320.72,35,True,True,True,False,96616.91,0,31.6,117,1
PJ0260,Pimenta,Comércio,668211.35,19,True,False,False,True,68151.58,0,1.7,154,5
PJ0261,Martins,Serviços,1016384.45,82,True,True,True,False,92947.15,55,-10.6,153,7
PJ0262,Siqueira,Construção Civil,301204.85,10,True,False,False,False,33033.51,0,-14.2,12,6
PJ0263,Duarte,Comércio,801504.47,25,True,False,True,False,31028.2,0,14.5,133,6
PJ0264,Borges da Mota - ME,Indústria,992861.12,67,True,False,False,False,96701.45,59,5.6,48,7
PJ0265,Sá Martins - EI,Agronegócio,403755.79,2,True,False,True,False,17108.9,0,7.2,37,6
PJ0266,Fernandes,Serviços,1152566.34,69,True,False,False,False,161725.67,0,21.3,44,4
PJ0267,Monteiro Ltda.,Serviços,835176.67,29,True,False,False,False,24122.77,59,-10.0,15,6
PJ0268,Mendonça Cunha Ltda.,Serviços,617778.24,1,True,False,False,False,46919.47,0,22.5,43,9
PJ0269,Fernandes,Indústria,939509.06,8,True,True,True,False,103772.23,0,-5.8,176,2
PJ0270,Peixoto,Comércio,1808986.21,30,True,True,True,False,143891.99,0,34.5,87,4
PJ0271,Novais,Serviços,784456.58,1,True,False,True,False,25080.95,0,11.0,70,6
PJ0272,Moreira S.A.,Serviços,805556.19,21,True,False,False,True,74062.25,0,-11.8,46,8
